day	treatment	inhalers_registrados	avg_score_treat	colors_treatment	combine_puffs_in_treatment
2025-03-10	1	1	4.5	yellow	False
2025-03-10	2	1	4.5	yellow	False
2025-03-11	1	2	4.67	yellow	True
2025-03-11	2	2	4.67	yellow	True
2025-03-12	1	2	4.33	yellow	False
2025-03-12	2	2	4.67	yellow	True
2025-03-13	1	2	5.67	green	True
2025-03-13	2	2	3.0	yellow	True
2025-03-14	1	2	3.67	yellow	True
2025-03-14	2	2	2.33	red	True
2025-03-15	1	2	2.0	red	True
2025-03-15	2	2	3.67	yellow	True
2025-03-16	1	2	0.0	red	True
2025-03-16	2	2	3.0	yellow	False
2025-03-17	1	2	1.33	red	False
2025-03-17	2	2	3.33	yellow	True
2025-03-18	1	1	2.0	red	False
2025-03-18	2	1	3.0	yellow	False
2025-03-18	3	1	3.0	yellow	True
2025-03-19	1	1	3.5	yellow	False
2025-03-19	2	1	5.0	green	False
2025-03-20	1	1	3.0	yellow	False
2025-03-20	2	1	3.0	yellow	False
2025-03-21	1	1	4.0	yellow	False
2025-03-21	2	2	4.67	yellow	True
2025-03-22	1	2	5.33	green	True
2025-03-22	2	2	2.67	red	False
2025-03-23	1	2	5.0	green	True
2025-03-23	2	2	4.67	yellow	True
2025-03-24	1	2	5.0	green	False
2025-03-24	2	2	6.0	green	False
2025-03-25	1	2	5.67	green	False
2025-03-25	2	2	5.33	green	True
2025-03-26	1	2	5.67	green	True
2025-03-26	2	2	5.0	green	True
2025-03-27	1	2	4.67	yellow	True
2025-03-27	2	2	5.33	green	False
2025-03-28	1	2	4.0	yellow	True
2025-03-28	2	2	4.0	yellow	True
2025-03-29	1	2	3.67	yellow	True
2025-03-29	2	2	5.67	green	True
2025-03-30	1	2	3.0	yellow	True
2025-03-30	2	2	5.33	green	True
2025-03-31	1	2	4.67	yellow	True
2025-03-31	2	2	5.0	green	False
2025-04-01	1	2	4.67	yellow	False
2025-04-01	2	2	5.67	green	True
2025-04-02	1	2	5.0	green	True
2025-04-02	2	2	4.33	yellow	False
2025-04-03	1	2	3.0	yellow	True
2025-04-03	2	2	4.67	yellow	False
2025-04-04	1	2	4.67	yellow	True
2025-04-04	2	2	5.67	green	False
2025-04-05	1	2	4.0	yellow	False
2025-04-05	2	2	4.33	yellow	False
2025-04-06	1	2	5.33	green	False
2025-04-06	2	2	6.0	green	False
2025-04-07	1	2	4.33	yellow	False
2025-04-07	2	2	5.0	green	True
2025-04-08	1	2	5.33	green	False
2025-04-08	2	2	5.33	green	False
2025-04-09	1	2	4.67	yellow	True
2025-04-09	2	2	5.0	green	False
2025-04-10	1	2	5.33	green	False
2025-04-10	2	2	4.67	yellow	False
2025-04-11	1	2	5.33	green	False
2025-04-11	2	2	4.67	yellow	False
2025-04-12	1	2	5.67	green	False
2025-04-12	2	2	5.67	green	False
2025-04-13	1	2	5.67	green	True
2025-04-13	2	2	6.0	green	False
2025-04-14	1	2	6.0	green	False
2025-04-17	1	1	6.0	green	False
2025-04-17	2	1	3.0	yellow	False
2025-04-18	1	1	4.0	yellow	False
2025-04-19	1	1	3.0	yellow	False
2025-04-19	2	1	4.0	yellow	False
2025-04-20	1	1	5.0	green	False
2025-04-20	2	1	4.0	yellow	False
2025-04-21	1	1	3.0	yellow	False
2025-04-21	2	2	5.33	green	False
2025-04-22	1	2	4.67	yellow	False
2025-04-22	2	2	4.33	yellow	False
